capability_id,capability
CAP-0001,team leadership
CAP-0002,team management
CAP-0003,people management
CAP-0004,staff management
CAP-0005,manage a team
CAP-0006,lead a team
CAP-0007,leadership
CAP-0008,supervision
CAP-0009,employee supervision
CAP-0010,workforce management
CAP-0011,volunteer coordination
CAP-0012,manage volunteers
CAP-0013,staff coordination
CAP-0014,team coordination
CAP-0015,stakeholder coordination
CAP-0016,stakeholder management
CAP-0017,community engagement
CAP-0018,community coordination
CAP-0019,project management
CAP-0020,perform project management
CAP-0021,project planning
CAP-0022,project coordination
CAP-0023,project scheduling
CAP-0024,project execution
CAP-0025,operations management
CAP-0026,operations planning
CAP-0027,business operations
CAP-0028,process management
CAP-0029,process improvement
CAP-0030,workflow management
CAP-0031,resource management
CAP-0032,manage resources
CAP-0033,resource allocation
CAP-0034,capacity planning
CAP-0035,event management
CAP-0036,event planning
CAP-0037,plan events
CAP-0038,event coordination
CAP-0039,event organization
CAP-0040,carry out event management
CAP-0041,festival management
CAP-0042,conference management
CAP-0043,event logistics
CAP-0044,event scheduling
CAP-0045,venue management
CAP-0046,event staff supervision
CAP-0047,logistics
CAP-0048,manage logistics
CAP-0049,logistics management
CAP-0050,logistics planning
CAP-0051,transportation management
CAP-0052,supply chain management
CAP-0053,supplier management
CAP-0054,vendor management
CAP-0055,vendor coordination
CAP-0056,supplier coordination
CAP-0057,procurement
CAP-0058,procurement management
CAP-0059,purchasing
CAP-0060,inventory management
CAP-0061,stock management
CAP-0062,warehouse management
CAP-0063,distribution management
CAP-0064,delivery management
CAP-0065,budget management
CAP-0066,manage budgets
CAP-0067,budget planning
CAP-0068,budget preparation
CAP-0069,budget control
CAP-0070,financial management
CAP-0071,financial planning
CAP-0072,financial analysis
CAP-0073,cost management
CAP-0074,cost control
CAP-0075,cost analysis
CAP-0076,expense management
CAP-0077,control of expenses
CAP-0078,accounting
CAP-0079,bookkeeping
CAP-0080,cash management
CAP-0081,financial reporting
CAP-0082,resource budgeting
CAP-0083,communication
CAP-0084,written communication
CAP-0085,verbal communication
CAP-0086,public speaking
CAP-0087,public presentation
CAP-0088,conduct public presentations
CAP-0089,presentation skills
CAP-0090,professional communication
CAP-0091,interpersonal communication
CAP-0092,active listening
CAP-0093,negotiation
CAP-0094,negotiation skills
CAP-0095,conflict management
CAP-0096,conflict resolution
CAP-0097,mediation
CAP-0098,persuasion
CAP-0099,stakeholder communication
CAP-0100,customer service
CAP-0101,customer relationship management
CAP-0102,customer support
CAP-0103,client management
CAP-0104,client communication
CAP-0105,community outreach
CAP-0106,community education
CAP-0107,community development
CAP-0108,community needs analysis
CAP-0109,social engagement
CAP-0110,public relations
CAP-0111,relationship management
CAP-0112,sales
CAP-0113,sales management
CAP-0114,sales planning
CAP-0115,business development
CAP-0116,business planning
CAP-0117,market research
CAP-0118,marketing
CAP-0119,digital marketing
CAP-0120,content marketing
CAP-0121,product management
CAP-0122,account management
CAP-0123,partnership management
CAP-0124,business strategy
CAP-0125,strategic planning
CAP-0126,human resource management
CAP-0127,recruitment
CAP-0128,employee recruitment
CAP-0129,talent management
CAP-0130,employee onboarding
CAP-0131,training employees
CAP-0132,employee development
CAP-0133,performance management
CAP-0134,workforce planning
CAP-0135,staff scheduling
CAP-0136,software development
CAP-0137,web development
CAP-0138,frontend development
CAP-0139,backend development
CAP-0140,full stack development
CAP-0141,application development
CAP-0142,mobile application development
CAP-0143,database management
CAP-0144,database development
CAP-0145,data management
CAP-0146,data analysis
CAP-0147,data visualization
CAP-0148,data processing
CAP-0149,machine learning
CAP-0150,artificial intelligence
CAP-0151,natural language processing
CAP-0152,cloud computing
CAP-0153,cloud management
CAP-0154,cybersecurity
CAP-0155,network management
CAP-0156,IT support
CAP-0157,technical support
CAP-0158,system administration
CAP-0159,API development
